dataset,dataset_key,method,alpha,evaluated,screening_recall,batch_hit_rate,current_alpha
HIV,hiv,cluster_bandit,cluster_bandit,50,0.0143,0.0400,0.0000
HIV,hiv,cluster_bandit,cluster_bandit,75,0.0405,0.1467,0.1000
HIV,hiv,cluster_bandit,cluster_bandit,100,0.0500,0.0533,0.2500
HIV,hiv,cluster_bandit,cluster_bandit,125,0.0881,0.2133,0.5000
HIV,hiv,cluster_bandit,cluster_bandit,150,0.1238,0.2000,0.7500
HIV,hiv,cluster_bandit,cluster_bandit,175,0.1571,0.1867,1.0000
HIV,hiv,cluster_bandit,cluster_bandit,200,0.1929,0.2000,0.4167
HIV,hiv,cluster_bandit,cluster_bandit,225,0.2310,0.2133,0.5000
HIV,hiv,cluster_bandit,cluster_bandit,250,0.2667,0.2000,0.9167
HIV,hiv,cluster_bandit,cluster_bandit,275,0.2929,0.1467,0.4167
HIV,hiv,cluster_bandit,cluster_bandit,300,0.3214,0.1600,0.5333
HIV,hiv,cluster_bandit,cluster_bandit,325,0.3452,0.1333,0.3667
HIV,hiv,cluster_bandit,cluster_bandit,350,0.3738,0.1600,0.4167
HIV,hiv,cluster_bandit,cluster_bandit,375,0.3952,0.1200,0.2500
HIV,hiv,cluster_bandit,cluster_bandit,400,0.4143,0.1067,0.6167
HIV,hiv,cluster_bandit,cluster_bandit,425,0.4381,0.1333,0.2833
HIV,hiv,cluster_bandit,cluster_bandit,450,0.4595,0.1200,0.4167
HIV,hiv,cluster_bandit,cluster_bandit,475,0.4810,0.1200,0.8333
HIV,hiv,cluster_bandit,cluster_bandit,500,0.4929,0.0667,0.1167
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,50,0.0593,0.1067,0.0000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,75,0.1037,0.1600,0.1000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,100,0.1852,0.2933,0.2500
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,125,0.2630,0.2800,0.5000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,150,0.3370,0.2667,0.7500
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,175,0.3815,0.1600,1.0000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,200,0.4111,0.1067,0.2333
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,225,0.4444,0.1200,0.3333
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,250,0.4704,0.0933,0.2833
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,275,0.5074,0.1333,0.6667
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,300,0.5407,0.1200,0.4167
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,325,0.5667,0.0933,0.5000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,350,0.5778,0.0400,0.3667
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,375,0.6000,0.0800,0.1500
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,400,0.6259,0.0933,0.5000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,425,0.6333,0.0267,0.2000
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,450,0.6444,0.0400,0.4500
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,475,0.6704,0.0933,0.4167
ClinTox CT_TOX,clintox,cluster_bandit,cluster_bandit,500,0.6926,0.0800,0.3667
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,50,0.0098,0.0333,0.0000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,75,0.0647,0.3733,0.1000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,100,0.1510,0.5867,0.2500
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,125,0.2216,0.4800,0.5000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,150,0.2863,0.4400,0.7500
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,175,0.3333,0.3200,1.0000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,200,0.3451,0.0800,0.1000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,225,0.4157,0.4800,0.2000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,250,0.4647,0.3333,0.1667
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,275,0.4902,0.1733,0.5833
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,300,0.5020,0.0800,0.1500
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,325,0.5137,0.0800,0.5833
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,350,0.5314,0.1200,0.1167
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,375,0.5333,0.0133,0.2000
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,400,0.5392,0.0400,0.3667
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,425,0.5431,0.0267,0.4500
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,450,0.5490,0.0400,0.5833
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,475,0.5569,0.0533,0.6667
Tox21 NR-AR,tox21,cluster_bandit,cluster_bandit,500,0.5608,0.0267,0.3667
BACE,bace,cluster_bandit,cluster_bandit,50,0.0410,0.4533,0.0000
BACE,bace,cluster_bandit,cluster_bandit,75,0.0772,0.8000,0.1000
BACE,bace,cluster_bandit,cluster_bandit,100,0.1127,0.7867,0.2500
BACE,bace,cluster_bandit,cluster_bandit,125,0.1483,0.7867,0.5000
BACE,bace,cluster_bandit,cluster_bandit,150,0.1790,0.6800,0.7500
BACE,bace,cluster_bandit,cluster_bandit,175,0.2080,0.6400,1.0000
BACE,bace,cluster_bandit,cluster_bandit,200,0.2321,0.5333,0.1167
BACE,bace,cluster_bandit,cluster_bandit,225,0.2706,0.8533,0.0833
BACE,bace,cluster_bandit,cluster_bandit,250,0.3068,0.8000,0.4500
BACE,bace,cluster_bandit,cluster_bandit,275,0.3412,0.7600,0.2833
BACE,bace,cluster_bandit,cluster_bandit,300,0.3779,0.8133,0.0667
BACE,bace,cluster_bandit,cluster_bandit,325,0.4177,0.8800,0.0667
BACE,bace,cluster_bandit,cluster_bandit,350,0.4575,0.8800,0.1167
BACE,bace,cluster_bandit,cluster_bandit,375,0.4949,0.8267,0.1167
BACE,bace,cluster_bandit,cluster_bandit,400,0.5298,0.7733,0.7500
BACE,bace,cluster_bandit,cluster_bandit,425,0.5497,0.4400,0.2000
BACE,bace,cluster_bandit,cluster_bandit,450,0.5841,0.7600,0.1167
BACE,bace,cluster_bandit,cluster_bandit,475,0.6209,0.8133,0.1500
BACE,bace,cluster_bandit,cluster_bandit,500,0.6516,0.6800,0.3333
BBBP,bbbp,cluster_bandit,cluster_bandit,50,0.0335,0.8400,0.0000
BBBP,bbbp,cluster_bandit,cluster_bandit,75,0.0521,0.9333,0.1000
BBBP,bbbp,cluster_bandit,cluster_bandit,100,0.0715,0.9733,0.2500
BBBP,bbbp,cluster_bandit,cluster_bandit,125,0.0898,0.9200,0.5000
BBBP,bbbp,cluster_bandit,cluster_bandit,150,0.1053,0.7733,0.7500
BBBP,bbbp,cluster_bandit,cluster_bandit,175,0.1196,0.7200,1.0000
BBBP,bbbp,cluster_bandit,cluster_bandit,200,0.1300,0.5200,0.1167
BBBP,bbbp,cluster_bandit,cluster_bandit,225,0.1489,0.9467,0.0667
BBBP,bbbp,cluster_bandit,cluster_bandit,250,0.1677,0.9467,0.1667
BBBP,bbbp,cluster_bandit,cluster_bandit,275,0.1871,0.9733,0.3167
BBBP,bbbp,cluster_bandit,cluster_bandit,300,0.2039,0.8400,0.1667
BBBP,bbbp,cluster_bandit,cluster_bandit,325,0.2220,0.9067,0.2500
BBBP,bbbp,cluster_bandit,cluster_bandit,350,0.2392,0.8667,0.2000
BBBP,bbbp,cluster_bandit,cluster_bandit,375,0.2586,0.9733,0.0667
BBBP,bbbp,cluster_bandit,cluster_bandit,400,0.2780,0.9733,0.4167
BBBP,bbbp,cluster_bandit,cluster_bandit,425,0.2964,0.9200,0.2000
BBBP,bbbp,cluster_bandit,cluster_bandit,450,0.3147,0.9200,0.1167
BBBP,bbbp,cluster_bandit,cluster_bandit,475,0.3347,1.0000,0.2000
BBBP,bbbp,cluster_bandit,cluster_bandit,500,0.3517,0.8533,0.1167
